No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1316,38.1999,-18.9702, , ,195.2635,88.6775
1317,38.2259,-86.7676, , ,195.2635,88.3435
1318,38.2519,168.8710, , ,195.2635,89.8269
1319,38.2779,73.0091, , ,195.2635,89.3402
1320,38.3039,-43.7480, , ,195.2635,88.7332
1321,38.3299,-60.6797, , ,195.2635,88.6866
1322,38.3559,18.6036, , ,195.2635,89.1811
1323,38.3819,85.2706, , ,195.2635,89.6025
1324,38.4079,-33.1654, , ,195.2635,88.9878
1325,38.4339,-20.3921, , ,195.2635,88.9972
1326,38.4599,-39.8622, , ,195.2635,88.8252
1327,38.4859,7.9068, , ,195.2635,89.0313
1328,38.5119,-26.9056, , ,195.2635,88.7730
1329,38.5379,-59.1844, , ,195.2635,88.5283
1330,38.5639,-9.2125, , ,195.2635,88.7475
1331,38.5899,61.7458, , ,195.2635,89.0841
1332,38.6159,200.2913, , ,195.2635,89.7965
1333,38.6419,111.0751, , ,195.2635,89.2361
1334,38.6679,105.0164, , ,195.2635,89.1398
1335,38.6939,246.1896, , ,195.2635,89.8664
1336,38.7199,202.7611, , ,195.2635,89.5624
1337,38.7459,119.7493, , ,195.2635,89.0354
1338,38.7719,112.8789, , ,195.2635,88.9344
1339,38.7979,93.8521, , ,195.2635,88.7648
1340,38.8239,70.3526, , ,195.2635,88.5696
1341,38.8499,-25.8789, , ,195.2635,87.9615
1342,38.8759,-32.2046, , ,195.2635,87.8624
1343,38.9019,29.3667, , ,195.2635,88.2423
1344,38.9279,2.1401, , ,195.2635,88.1181
1345,38.9539,-53.8729, , ,195.2635,87.8301
1346,38.9799,-54.6213, , ,195.2635,87.8562
1347,39.0059,-0.6035, , ,195.2635,88.1933
1348,39.0319,21.7586, , ,195.2635,88.3502
1349,39.0579,-6.6305, , ,195.2635,88.2196
1350,39.0839,-32.2990, , ,195.2635,88.1043
1351,39.1099,33.8334, , ,195.2635,88.5089
1352,39.1359,14.6767, , ,195.2635,88.4019
1353,39.1619,-33.5115, , ,195.2635,88.1302
1354,39.1879,-38.9062, , ,195.2635,88.1009
1355,39.2139,-9.0724, , ,195.2635,88.2713
1356,39.2399,24.2459, , ,195.2635,88.4610
1357,39.2659,54.9013, , ,195.2635,88.6354
1358,39.2919,-7.2031, , ,195.2635,88.2856
1359,39.3179,-70.9790, , ,195.2635,87.9250
1360,39.3439,-5.1959, , ,195.2635,88.2995
1361,39.3699,39.3583, , ,195.2635,88.5634
1362,39.3959,54.1871, , ,195.2635,88.6591
1363,39.4219,43.8612, , ,195.2635,88.6128
1364,39.4479,-48.9524, , ,195.2635,88.0996
1365,39.4739,-29.6647, , ,195.2635,88.2211
1366,39.4999,82.6350, , ,195.2635,88.8672
1367,39.5259,96.3306, , ,195.2635,88.9562
1368,39.5519,52.4281, , ,195.2635,88.7211
1369,39.5779,46.5754, , ,195.2635,88.7000
1370,39.6039,59.3404, , ,195.2635,88.7839
1371,39.6299,-30.1545, , ,195.2635,88.2905
1372,39.6559,-36.0228, , ,195.2635,88.2693
1373,39.6819,40.0461, , ,195.2635,88.7111
1374,39.7079,33.5848, , ,195.2635,88.6867
1375,39.7339,70.3296, , ,195.2635,88.9056
1376,39.7599,95.1073, , ,195.2635,89.0567
1377,39.7859,100.1513, , ,195.2635,89.0970
1378,39.8119,90.5480, , ,195.2635,89.0550
1379,39.8379,55.5688, , ,195.2635,88.8703
1380,39.8639,151.8140, , ,195.2635,89.4221
1381,39.8899,111.8866, , ,195.2635,89.2104
1382,39.9159,-58.0165, , ,195.2635,88.2651
1383,39.9419,89.2940, , ,195.2635,89.1076
1384,39.9679,1.0623, , ,195.2635,88.6111
