A,Perileno,Pyn,PynMOF,Peaks
3,428.22,93.3791,73.6887,80.2151,
3,427.29,93.396,73.6739,80.1933,
3,426.36,93.3599,73.6399,80.1858,
3,425.42,93.3539,73.5974,80.1737,
3,424.49,93.392,73.5946,80.1875,
3,423.56,93.3862,73.6022,80.1969,
3,422.63,93.3347,73.5736,80.2101,
3,421.7,93.364,73.5542,80.2248,
3,420.76,93.3739,73.56,80.2665,
3,419.83,93.3689,73.5696,80.2971,
3,418.9,93.3327,73.5886,80.2712,
3,417.97,93.2734,73.577,80.2448,
3,417.04,93.2984,73.5046,80.2535,
3,416.11,93.38,73.5014,80.2776,
3,415.17,93.4097,73.5484,80.297,
3,414.24,93.3704,73.5484,80.3132,
3,413.31,93.3496,73.5384,80.3114,
3,412.38,93.3823,73.5548,80.3011,
3,411.45,93.3886,73.5914,80.3002,
3,410.51,93.3586,73.6141,80.2818,
3,409.58,93.3533,73.6028,80.2581,
3,408.65,93.3451,73.5527,80.2749,
3,407.72,93.356,73.4886,80.2843,
3,406.79,93.3784,73.4657,80.2646,
3,405.85,93.3502,73.4627,80.2541,
3,404.92,93.3754,73.4566,80.2275,
3,403.99,93.4253,73.477,80.2169,
