nm	XPyn	Pyn	XPynMOF	PynMOF
465	202.6	0.306639441024262	122.4	0.0877814178095425
464	199.3	0.299507298700488	122.2	0.0870712059065354
463	196.4	0.293141483450931	121.9	0.086003705618382
462	193.7	0.287129620719111	121.7	0.085290578230065
461	192.1	0.283527364861694	122.1	0.0867156639448824
460	189.4	0.277379974667255	121.8	0.0856472882968566
459	186	0.269512944217916	121.2	0.0835026198302674
458	184.1	0.265053788504015	120.9	0.0824263008607719
457	182.4	0.261024833992397	120.6	0.0813473078041324
456	179.5	0.254064452914338	120.2	0.0799044676667208
455	178.7	0.252124552505644	120.1	0.079543007402906
454	178.5	0.251638220448212	120.7	0.0817072700973492
453	177.2	0.248463717551032	120	0.0791812460476248
452	176.1	0.245759355967277	119.2	0.0762762554042177
451	176	0.24551266781415	119.2	0.0762762554042177
450	176	0.24551266781415	118.6	0.0740846890282438
449	176.4	0.246498580795801	119	0.0755469613925308
448	175.9	0.245265839457461	117.4	0.0696680969115957
447	175.5	0.244277120801843	117.9	0.0715138050950892
446	176.3	0.246252312299322	117.3	0.0692980121155292
445	176.5	0.246744709723841	116.9	0.0678145111618401
444	175.2	0.243534101832062	116.9	0.0678145111618401
443	174.5	0.241795431295199	116.1	0.0648322197385738
442	174.2	0.241048150671644	116.4	0.0659529803138697
441	172.7	0.237292337567459	116	0.0644579892269185
440	170.5	0.231724383328516	115.1	0.0610753236297918
439	168.5	0.226599905207357	114.5	0.0588054866759068
438	166.1	0.220369632451394	114.2	0.0576661039098293
437	162.9	0.211921084308509	113.5	0.0549958615291415
436	161.3	0.207634367388962	114.1	0.0572856444182146
435	157.6	0.197556213153536	113.7	0.0557604646877348
434	153.4	0.185825359612962	112.1	0.0496056125949731
433	151.2	0.179551791165188	111.7	0.0480531731156091
432	147.7	0.16938049531195	112.1	0.0496056125949731
431	145.8	0.163757523981956	111.8	0.0484418035504045
430	142.7	0.154423973114647	110.7	0.0441476208787228
429	139.4	0.144262773761991	110.1	0.0417873189717517
428	138.6	0.141763230275788	110.7	0.0441476208787228
427	136.1	0.133858125203335	110.1	0.0417873189717517
426	134.2	0.127752515832973	109	0.0374264979406236
425	133	0.123851640967086	109.4	0.039017321997412
424	130.7	0.116275587580544	108.3	0.0346284566253203
423	129.7	0.11293997608408	109.3	0.0386201619497028
422	129.1	0.11092624226642	108.1	0.0338256939533103
421	128.5	0.108903127667313	108.2	0.0342272607705506
420	127.6	0.105850674385143	108.1	0.0338256939533103
419	126.3	0.101403350555331	107.7	0.0322157032979816
418	126	0.100370545117563	107.5	0.0314084642516241
417	125	0.0969100130080564	107.2	0.0301947853567512
416	123.5	0.0916669575956846	106.8	0.0285712526925376
415	123.4	0.0913151596972229	106.7	0.0281644194244699
414	122.5	0.0881360887005513	106	0.0253058652647702
413	121.5	0.084576277934331	105.7	0.0240749873074263
412	120.2	0.0799044676667208	104.9	0.020775488193558
411	118.4	0.073351702386901	104.6	0.0195316845312554
410	118.3	0.0729847446279304	104.8	0.0203612826477078
409	118.1	0.0722498976135147	105.7	0.0240749873074263
408	116.7	0.0670708560453702	105.1	0.0216027160282421
407	116.1	0.0648322197385738	104.5	0.0191162904470728
406	114.6	0.0591846176313711	104.3	0.0182843084265308
405	113.7	0.0557604646877348	104.2	0.0178677189635057
404	113	0.0530784434834197	104.6	0.0195316845312554
403	111.7	0.0480531731156091	104.6	0.0195316845312554
402	111.7	0.0480531731156091	103.9	0.0166155475571775
401	111.4	0.0468851908377102	103.9	0.0166155475571775
400	111.3	0.0464951643347083	104.1	0.0174507295105361
399	110.7	0.0441476208787228	104.4	0.0187004986662434
398	110.9	0.0449315461491601	103.8	0.016197353512439
397	111.8	0.0484418035504045	104.6	0.0195316845312554
396	111.4	0.0468851908377102	105.1	0.0216027160282421
395	110.7	0.0441476208787228	104.4	0.0187004986662434
394	109.8	0.0406023401140731	104.4	0.0187004986662434
393	109.5	0.0394141191761372	103.6	0.0153597554092142
392	109.8	0.0406023401140731	103.7	0.015778756389041
391	109.4	0.039017321997412	104.2	0.0178677189635057
390	108.8	0.0366288953621611	104.7	0.0199466816788423
389	110.1	0.0417873189717517	104.4	0.0187004986662434
388	108.9	0.037027879755775	104.6	0.0195316845312554
387	109.1	0.0378247505883418	104.7	0.0199466816788423
386	109.3	0.0386201619497028	104.6	0.0195316845312554
385	109.2	0.0382226383687185	105.3	0.0224283711854865
384	109.8	0.0406023401140731	105.7	0.0240749873074263
383	110	0.0413926851582251	105.6	0.0236639181977934
382	110.6	0.0437551269686794	106.3	0.0265332645232967
381	109.5	0.0394141191761372	105.4	0.0228406108765279
380	111.4	0.0468851908377102	106.3	0.0265332645232967
379	110.8	0.0445397603924109	107.4	0.0310042813635369
378	111.2	0.0461047872460387	105.9	0.0248959601074851
377	112.7	0.0519239160461066	106.9	0.028977705208778
376	113.6	0.055378331375	107.9	0.0330214446829108
375	115.7	0.0633333589517496	108.7	0.0362295440862946
374	114	0.0569048513364726	108	0.0334237554869497
373	114.8	0.0599418880619547	108.3	0.0346284566253203
372	113.1	0.0534626049254552	107.6	0.0318122713303703
371	113.8	0.0561422620590523	106.5	0.0273496077747565
370	113.6	0.055378331375	107.9	0.0330214446829108
369	113.2	0.0538464268522526	107.1	0.0297894708318556
368	112.4	0.0507663112330423	107.5	0.0314084642516241
367	112.8	0.0523090996473235	108.3	0.0346284566253203
366	111.8	0.0484418035504045	106.5	0.0273496077747565
365	112.2	0.0499928569201426	107.5	0.0314084642516241
364	111.7	0.0480531731156091	107.2	0.0301947853567512
363	112.3	0.0503797562614578	107.4	0.0310042813635369
362	112.5	0.0511525224473813	106.9	0.028977705208778
361	113.5	0.0549958615291415	108.5	0.0354297381845483
360	113.6	0.055378331375	109	0.0374264979406236
359	113.8	0.0561422620590523	108.6	0.0358298252528281
358	113.3	0.0542299098633972	108.5	0.0354297381845483
357	113.3	0.0542299098633972	108.7	0.0362295440862946
356	113.2	0.0538464268522526	108.1	0.0338256939533103
355	111	0.0453229787866574	107.7	0.0322157032979816
354	111.7	0.0480531731156091	107.6	0.0318122713303703
353	111	0.0453229787866574	107.4	0.0310042813635369
352	111.2	0.0461047872460387	107.9	0.0330214446829108
351	110.5	0.0433622780211295	107.3	0.0305997219659511
350	110	0.0413926851582251	107.6	0.0318122713303703
349	110.1	0.0417873189717517	107.3	0.0305997219659511
348	110.5	0.0433622780211295	108.5	0.0354297381845483
347	110.2	0.0421815945157663	108.1	0.0338256939533103
346	109.5	0.0394141191761372	108	0.0334237554869497
345	110.5	0.0433622780211295	108.7	0.0362295440862946
344	110.3	0.0425755124401906	108.3	0.0346284566253203
343	110.2	0.0421815945157663	109.2	0.0382226383687185
342	110.5	0.0433622780211295	109.3	0.0386201619497028
341	111.5	0.0472748673841795	110	0.0413926851582251
340	110.8	0.0445397603924109	110.2	0.0421815945157663
339	110.8	0.0445397603924109	110	0.0413926851582251
338	111.2	0.0461047872460387	110.6	0.0437551269686794
337	111.4	0.0468851908377102	111.7	0.0480531731156091
336	111.9	0.0488300865283501	111.4	0.0468851908377102
335	111.5	0.0472748673841795	112.3	0.0503797562614578
334	111.7	0.0480531731156091	112.6	0.0515383905153274
333	111.7	0.0480531731156091	112.5	0.0511525224473813
332	112.1	0.0496056125949731	113.5	0.0549958615291415
331	112.2	0.0499928569201426	113.8	0.0561422620590523
330	112.7	0.0519239160461066	115	0.0606978403536117
329	112.8	0.0523090996473235	115.3	0.061829307294699
