Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

30720.000,-4.26299841E-4,
30760.000,1.29084475E-3,
3.08E04,8.00472451E-4,
30840.000,8.00689741E-4,
30880.000,-1.40738126E-3,
30920.000,-6.71868038E-4,
30960.000,3.09742609E-4,
3.1E04,-4.25824081E-4,
31040.000,-6.71904534E-4,
31080.000,2.27325200E-3,
31120.000,-1.66059704E-3,
31160.000,2.51701381E-3,
3.12E04,5.54779370E-4,
31240.000,1.04789750E-3,
31280.000,6.41485458E-5,
31320.000,-1.16546603E-3,
31360.000,-4.28354542E-4,
3.14E04,-1.90881325E-3,
31440.000,-4.27839987E-4,
31480.000,-1.80050542E-4,
31520.000,1.29035115E-3,
31560.000,-2.88286805E-3,
3.16E04,-6.73172355E-4,
31640.000,-1.82708056E-4,
31680.000,1.53526338E-3,
31720.000,-4.27362625E-4,
31760.000,-6.74552866E-4,
3.18E04,5.54489670E-4,
31840.000,-6.75789837E-4,
31880.000,-6.68620225E-4,
31920.000,6.56298944E-5,
31960.000,-1.40745449E-3,
3.2E04,-6.71904651E-4,
32040.000,-1.65092829E-3,
32080.000,2.27426551E-3,
32120.000,4.23497241E-3,
32160.000,-1.81993688E-4,
3.22E04,2.27317866E-3,
32240.000,1.29038759E-3,
32280.000,8.00184847E-4,
32320.000,-1.40848511E-3,
32360.000,-1.65692461E-3,
3.24E04,1.77857350E-3,
32440.000,2.03167135E-3,
32480.000,2.51816423E-3,
32520.000,8.01051734E-4,
32560.000,5.54904225E-4,
3.26E04,3.09123832E-4,
32640.000,1.04501878E-3,
32680.000,-4.26263257E-4,
32720.000,-4.27325984E-4,
32760.000,-4.23744350E-4,
3.28E04,-1.16725848E-3,
32840.000,3.09330935E-4,
32880.000,-1.89932284E-3,
32920.000,1.53585873E-3,
32960.000,7.99788337E-4,
3.3E04,8.00148293E-4,
33040.000,-1.90464268E-3,
33080.000,1.29172404E-3,
33120.000,-1.16074702E-3,
33160.000,2.02645408E-3,
3.32E04,2.02991604E-3,
33240.000,5.54613536E-4,
33280.000,-9.16032703E-4,
33320.000,-9.14493634E-4,
33360.000,1.04693463E-3,
3.34E04,3.49299819E-3,
33440.000,3.09875730E-4,
33480.000,-1.65564194E-3,
33520.000,-2.14686035E-3,
33560.000,8.00689741E-4,
3.36E04,6.39860082E-5,
33640.000,-1.89663540E-3,
33680.000,-1.16722169E-3,
33720.000,-4.25312377E-4,
33760.000,-6.71290094E-4,
3.38E04,-1.89663563E-3,
33840.000,-2.14552111E-3,
33880.000,3.09585535E-4,
33920.000,2.52162316E-3,
33960.000,8.00509064E-4,
3.4E04,-4.28354630E-4,
34040.000,-1.16542925E-3,
34080.000,1.04498223E-3,
34120.000,5.54696366E-4,
34160.000,-9.19231097E-4,
